Begin Time - msec,End Time - msec,R.G.Right.Phrase
8040,10130,iconic-deictic
10140,12270,deictic
12280,14370,iconic-beat
14370,16290,deictic
16300,16990,deictic
16990,19590,deictic
19590,20390,iconic
20390,21890,deictic-beat
21890,22720,deictic
22720,25360,iconic
25370,27390,iconic
27390,29590,iconic
29600,30650,deictic
30660,32700,iconic
32720,35910,iconic
35910,37120,iconic
39922,41593,iconic
41593,43530,iconic
44500,46860,iconic
47370,48710,iconic
54940,56250,iconic
57330,58530,iconic
60710,62400,iconic
63310,64860,iconic-deictic-beat
69990,70610,iconic
70610,71240,iconic
78160,81500,iconic
81500,83040,iconic
83830,86100,iconic
102140,104760,iconic
105690,107010,iconic
107700,109220,iconic
109850,112300,iconic
113760,115070,iconic
115070,115960,iconic
115960,117350,iconic
121856,122990,iconic
122990,124510,iconic
126730,127880,iconic
130660,132010,iconic-deictic-beat
132010,133230,iconic
141040,142480,iconic
149030,149830,iconic
149830,151080,iconic
157540,161238,deictic
161510,163130,iconic
163140,164940,deictic
164940,166690,iconic
177870,178630,iconic
182150,183300,iconic
185140,186000,iconic
186010,187440,iconic
187440,188800,iconic
192110,193140,deictic
193140,196650,iconic
196660,198970,beat
199540,202120,deictic
212400,213620,iconic
214400,215070,beat
215070,216780,iconic
217240,218050,iconic
218500,219720,iconic
221110,222340,iconic-deictic
222350,223020,deictic
223020,223830,deictic
223830,226310,iconic
229620,231765,iconic
235770,237790,iconic-deictic
239550,241170,beat
241170,242320,iconic
242610,243830,iconic
244520,246650,iconic-beat
246650,247990,iconic
250840,252250,iconic
252260,253340,iconic
253340,254530,iconic
257640,259300,iconic
259300,260670,iconic-beat
260670,262550,iconic
267050,268160,deictic-beat
268160,269180,move
269180,271020,iconic
271670,273220,deictic-beat
275290,276820,iconic
278130,278960,deictic
278970,280510,beat
282090,283970,beat
285650,286460,beat
287520,288990,deictic-beat
289330,290900,deictic-beat
291830,293100,iconic
293110,294790,deictic-beat
295480,297990,iconic-deictic-beat
305550,306620,iconic
306620,307150,iconic
307150,307950,iconic
307960,309240,deictic
319080,320900,iconic-beat
321690,323450,iconic-beat
324370,326120,iconic
326210,327627,discourse-iconic
335090,336600,deictic
336600,337570,discourse
337740,339290,iconic-beat
339300,340690,iconic-deictic
345510,347040,iconic
347040,348940,iconic-beat
350120,351970,deictic-beat
351970,353310,iconic
363014,363954,iconic
363954,365124,iconic-deictic
365124,366574,iconic
367574,368764,iconic
379708,381768,iconic
382448,384740,iconic
388358,389400,iconic
389408,392148,beat
393028,394158,iconic
394158,394648,iconic
394648,395718,move
395718,397448,iconic
401108,401769,discourse
401769,402417,discourse
402417,403198,deictic
403878,405370,iconic
407266,407644,deictic
407644,408278,discourse
419638,422188,iconic
423138,426470,iconic
426638,428740,iconic
429058,431208,iconic
431788,434158,iconic
434920,436440,deictic
438498,439398,iconic
439408,440420,deictic
441540,442910,iconic
475710,477040,iconic
479730,482150,beat
482150,483910,deictic
483910,485510,iconic
486520,487380,deictic
487380,488880,deictic-beat
488880,492810,deictic
496150,497290,iconic
497290,498350,deictic
498350,499080,discourse
500030,501820,iconic
503410,504690,deictic
504690,506850,iconic
512850,514260,deictic
514260,516070,iconic
516380,517950,iconic
533650,536630,iconic-deictic
537110,538720,iconic
538720,539920,deictic
539920,542905,iconic
542905,544090,iconic-deictic
544100,545990,iconic
545990,547210,iconic
548160,550240,iconic
551030,552690,iconic
552690,554920,iconic
556470,557260,move
557260,557870,iconic
557870,558990,iconic
562920,565750,iconic
566033,567620,discourse-iconic
599330,601030,iconic-deictic
601030,603690,deictic
618730,620410,iconic
621590,623260,iconic-deictic
623260,624360,deictic
624650,625220,iconic-deictic
625220,625780,deictic
625780,625980,deictic
625980,626610,deictic
626610,627920,deictic
629430,631500,iconic-deictic
631500,633290,iconic
633290,634660,iconic-deictic
634660,635650,iconic
635650,637660,iconic
637760,639310,iconic
639320,641740,iconic
641740,642740,iconic
642740,643460,iconic
643460,644040,iconic
644040,646230,iconic
647590,648830,iconic
648830,649870,iconic
649880,650960,iconic
651460,655450,iconic-beat
655460,657080,iconic
662373,663573,iconic
670100,671176,iconic
671176,672910,iconic
673160,674410,iconic
674630,675600,iconic
675610,676750,iconic
677690,678650,iconic-deictic
680180,681890,iconic
683480,684210,iconic
684210,685120,iconic
695110,696850,discourse-beat
696850,699780,discourse
707090,708810,discourse
744450,746020,deictic
746020,747370,deictic
747370,749420,deictic
755120,756890,iconic
764770,765635,iconic
765655,766890,iconic-deictic
782770,783860,deictic
785070,785670,deictic
785670,788840,iconic
802930,804690,iconic
806830,807607,iconic
807612,809074,iconic
812050,813220,iconic
814390,815510,move
815510,817260,move
819700,821000,iconic
821010,822610,iconic
830740,831950,iconic
831950,832780,iconic
836490,838630,iconic
838630,840610,iconic-beat
840610,842020,iconic
843820,844860,iconic
847050,847490,deictic
847490,849070,iconic
849410,850200,iconic-deictic
850200,851080,iconic-deictic
861800,863150,discourse
863550,864700,iconic
864700,866210,iconic-deictic
866400,868030,iconic
869320,870390,iconic-deictic
872010,873290,iconic
873380,876910,beat
876910,877910,beat
878430,880470,iconic
889100,890237,deictic
890237,891507,deictic
891507,893250,deictic
893250,895450,deictic
