Begin Time - msec,End Time - msec,RG_RefNum_Right
42090,43910,29
43920,45860,31
63660,64560,45
65380,66460,47
67660,68260,50
68470,71280,53
71280,72410,55
78830,81530,56
82640,84070,62
92140,93610,69
107980,110470,89
134030,134860,113
134860,136540,115
136550,141790,117
144270,145240,120
156810,163790,133
170420,171590,140
171590,172680,143
177640,178320,153
185010,187330,162
187340,188600,164
188600,193210,166
208293,209863,185
237680,239383,205
246763,250283,212
276627,278037,232
278037,278927,236
278927,280550,238
292217,294007,248
294017,296327,254
296327,297537,256
306247,308047,264
308050,309447,266
312377,313907,270
313907,315067,274
315067,315667,277
323607,324687,290
332547,333227,298
346550,347467,308
347467,348187,310
350990,352537,315
352537,353857,319
353857,355440,321
366457,367367,337
